MPG,cubicInches,horsepower,weightLbs,time-to-sixty,year_1971,year_1972,year_1973,year_1974,year_1975,year_1976,year_1977,year_1978,year_1979,year_1980,year_1981,year_1982,year_1983,cylinders_3,cylinders_4,cylinders_5,cylinders_6,cylinders_8,class
32.8,78,52,1985,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
16.0,258,110,3632,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
34.7,105,63,2215,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
25.0,140,92,2572,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
31.0,79,67,2000,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29.8,134,90,2711,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
15.0,318,150,4135,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
22.0,121,76,2511,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25.0,104,95,2375,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27.0,97,88,2130,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
37.0,91,68,2025,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
18.0,258,110,2962,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
32.0,71,65,1836,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
38.0,91,67,1995,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
28.0,112,88,2605,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
26.0,121,113,2234,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36.0,135,84,2370,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
27.4,121,80,2670,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2
21.5,231,115,3245,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
31.0,79,67,1950,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
23.9,119,97,2405,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
19.4,232,90,3210,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
19.0,121,112,2868,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25.0,140,75,2542,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
44.6,91,67,1850,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
15.5,318,145,4140,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
25.0,90,71,2223,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
23.7,70,100,2420,13,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
27.9,156,105,2800,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
26.6,350,105,3725,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
15.0,304,150,3892,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
20.0,232,100,2914,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
28.0,116,90,2123,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30.0,111,80,2155,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
22.3,140,88,2890,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2
13.0,350,155,4502,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
28.1,141,80,3230,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
36.0,120,88,2160,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
29.8,89,62,1845,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
24.5,98,60,2164,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
20.0,140,90,2408,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
15.5,350,170,4165,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
20.5,225,100,3430,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
13.0,350,150,4699,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
31.5,89,71,1990,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
17.0,260,110,4060,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
34.1,91,68,1985,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
36.0,107,75,2205,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
13.0,302,140,4294,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
20.5,200,95,3155,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
26.0,122,80,2451,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
24.2,146,120,2930,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
25.5,140,89,2755,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
12.0,383,180,4955,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
20.0,262,110,3221,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
19.0,232,90,3211,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
19.0,120,88,3270,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
36.0,98,70,2125,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
28.0,140,90,2264,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
15.0,258,110,3730,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
24.0,134,96,2702,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
31.0,91,68,1970,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
19.0,225,95,3264,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
13.0,302,130,3870,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
30.0,98,68,2155,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
33.7,107,75,2210,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
30.0,135,84,2385,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
19.0,232,100,2901,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
15.0,250,100,3336,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
18.0,225,105,3613,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
25.0,181,110,2945,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
14.0,351,153,4154,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
19.0,122,85,2310,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
19.2,231,105,3535,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
32.3,97,67,2065,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
24.0,140,92,2865,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
18.6,225,110,3620,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
18.1,258,120,3410,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
23.8,151,85,2855,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
15.0,318,150,3777,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
22.0,140,72,2408,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
15.5,304,120,3962,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
27.0,151,90,2950,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
30.0,146,67,3250,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
26.4,140,88,2870,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
32.0,85,70,1990,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
14.0,400,175,4464,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
14.0,304,150,4257,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
26.0,97,75,2265,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
20.6,231,105,3380,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
18.0,232,100,2789,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
18.5,360,150,3940,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
33.5,151,90,2556,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2
38.0,91,67,1965,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
24.0,120,97,2489,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
35.0,122,88,2500,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
34.5,105,70,2150,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2
22.0,198,95,2833,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
10.0,307,200,4376,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
12.0,350,160,4456,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
15.0,250,72,3432,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
11.0,429,208,4633,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
26.0,108,93,2391,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
39.4,85,70,2070,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
28.0,98,80,2164,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
32.0,135,84,2295,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
13.0,350,165,4274,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
19.0,250,100,3282,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
27.0,97,88,2100,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
20.0,225,100,3651,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
37.0,119,92,2434,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
13.0,400,170,4746,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
30.5,97,78,2190,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
17.6,302,129,3725,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
19.0,70,97,2330,14,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
36.0,79,58,1825,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
33.0,105,74,2190,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
25.0,113,95,2228,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
25.5,122,96,2300,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
21.0,155,107,2472,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
11.0,318,210,4382,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
17.0,163,125,3140,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
36.0,105,74,1980,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
