R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,Y
0.277,0.378,0.038,0.056,0.11,1.971,-1.2,19.784,1,0.443,0.443,3,-0.263,-0.029,-0.065,-0.029,0
0.411,0.557,0.022,0.079,0.129,1.642,-2.068,41.565,1,0.433,0.433,3.069,-0.339,-0.044,-0.101,-0.044,0
1.054,1.058,0.008,0.091,0.139,1.529,28.105,198.98,1,0.402,0.402,4.671,-0.101,-0.014,-0.035,-0.014,0
0.208,0.208,0.003,0.072,0.137,1.894,-0.499,155.35,1,0.143,0.143,0.413,-0.069,-0.009,-0.066,-0.009,0
0.998,0.998,0.823,0.989,0.69,0.698,-361.616,0.846,1,0.241,0.241,0.244,0.228,0.158,0.653,0.158,1
1.146,1.146,0,0.419,5.64,13.446,105.538,0,1,0.905,0.905,2.472,0.172,0.969,1.071,0.969,1
2.092,2.394,1.538,0.758,1.309,1.727,2.965,2.688,1,0.497,0.497,1.568,0.016,0.022,0.043,0.022,1
1.503,1.965,1.021,0.684,0.506,0.74,1.506,1.424,1,0.501,0.501,1.439,0.01,0.005,0.011,0.005,1
1.202,1.202,0.937,0.408,0.353,0.865,5.149,1.11,1,0.456,0.456,1.345,0.787,0.278,0.609,0.278,1
0.468,0.468,0.341,0.21,0.005,0.026,-0.023,0.036,1,0.044,0.044,0.097,62.024,0.339,7.765,0.339,1
0.579,0.579,0.379,0.141,0.074,0.523,-0.719,0.799,1,0.757,0.757,3.118,3.406,0.251,0.331,0.251,1
11.265,11.265,9.98,0.319,2.569,8.04,8.823,9.075,1,0.972,0.972,34.26,0.12,0.307,0.316,0.307,1
0.86,1.023,0.677,0.701,0.532,0.759,34.021,1.147,1,0.003,0.003,0.005,0.079,0.042,13.445,0.042,0
0.666,0.818,0.304,0.67,0.414,0.617,-2.778,1.663,1,0.003,0.003,0.004,-0.241,-0.099,-30.842,-0.099,0
0.691,0.86,0.476,0.597,0.563,0.943,-5.81,1.704,1,0.002,0.002,0.003,-0.052,-0.029,-12.542,-0.029,0
0.526,0.697,0.308,0.454,0.461,1.016,-2.339,2.298,1,0.003,0.003,0.004,-0.644,-0.297,-118.432,-0.297,0
0.174,0.28,0.01,0.277,0.336,1.213,-0.473,34.258,1.815,0.674,1.224,1.24,-1.463,-0.491,-0.401,-0.271,0
1.143,1.303,0.309,0.502,0.258,0.514,2.212,2.173,1.146,0.697,0.799,2.074,-0.703,-0.181,-0.227,-0.158,0
2.712,3.007,0.936,0.51,0.287,0.563,0.844,1.809,0.955,0.78,0.744,4.391,-0.255,-0.073,-0.099,-0.077,0
1.966,2.299,0.516,0.41,0.082,0.201,0.355,0.893,1.195,0.693,0.828,4.642,-1.595,-0.131,-0.158,-0.11,0
1.12,1.12,0.015,0.805,0.073,0.091,0.848,6.633,1,0.282,0.282,0.392,-1.008,-0.074,-0.262,-0.074,0
1.154,1.154,0.219,0.844,0.049,0.058,0.437,0.308,1,0.269,0.269,0.368,37.894,1.87,6.948,1.87,0
0.282,0.369,0.031,0.867,0.34,0.392,-0.229,4.71,1,-1.35,-1.35,-0.574,-0.599,-0.203,0.151,-0.203,0
0.296,0.443,0.005,0.848,0.188,0.222,-0.176,20.904,1,-0.916,-0.916,-0.478,-1.329,-0.25,0.273,-0.25,0
0.4,0.472,0.032,0.821,0.378,0.461,-0.411,6.688,1,-0.74,-0.74,-0.425,-1.326,-0.502,0.677,-0.502,0
1.437,1.69,0.016,0.968,0.198,0.205,0.502,21.211,0.525,0.118,0.062,0.108,-0.577,-0.115,-1.844,-0.218,0
0.868,1.021,0.01,0.968,0.664,0.686,32.824,70.93,1,0.048,0.048,0.05,0.213,0.141,2.96,0.141,0
0.632,0.789,0.036,0.907,0.833,0.918,-3.435,20.342,1,0.045,0.045,0.039,-0.097,-0.081,-1.804,-0.081,0
0.598,1.589,0.006,0.381,0.083,0.217,0.585,56.133,1,0.221,0.221,0.921,-0.293,-0.024,-0.11,-0.024,0
0.521,1.663,0.046,0.36,0.116,0.322,0.807,11.613,1,0.174,0.174,0.803,-0.164,-0.019,-0.109,-0.019,0
2.541,3.984,0.007,0.753,0.104,0.139,0.185,78.152,1,0.165,0.165,0.872,-0.128,-0.013,-0.081,-0.013,0
0.919,2.64,0.001,0.405,0.259,0.639,1.028,"1620.87",1,0.121,0.121,0.786,-0.026,-0.007,-0.055,-0.007,0
1.605,3.975,0.19,0.364,0.374,1.029,1.375,21.532,1,0.113,0.113,1.232,0.008,0.003,0.028,0.003,0
1.208,4.841,0.494,0.345,0.325,0.941,1.186,9.213,1,0.11,0.11,1.536,0.003,0.001,0.009,0.001,0
0.437,4.977,0.007,0.34,0.366,1.078,1.349,821.666,1,0.09,0.09,1.316,0.008,0.003,0.031,0.003,0
0.75,8.181,0.477,0.313,0.302,0.964,1.099,16.521,1,0.088,0.088,2.299,0.015,0.004,0.051,0.004,0
1.139,1.139,0.022,0.843,0.753,0.892,7.324,46.727,1,0.259,0.259,0.35,0.062,0.047,0.181,0.047,1
1.057,1.057,0.004,0.774,1.12,1.447,26.946,344.531,1,0.268,0.268,0.366,0.033,0.037,0.14,0.037,1
0.992,1.05,0.011,0.981,0.17,0.174,3.65,17.02,1,0.065,0.065,0.07,0.073,0.012,0.19,0.012,1
1.031,1.031,0.065,0.975,0.534,0.547,17.972,8.704,1,0.054,0.054,0.057,0.056,0.03,0.548,0.03,1
0.97,1.052,0.082,1,0.686,0.686,13.882,8.837,1,0.049,0.049,0.052,0.052,0.035,0.717,0.035,1
1.107,1.107,0.024,1,0.078,0.078,0.811,3.625,1,0.096,0.096,0.107,-0.213,-0.017,-0.173,-0.017,1
1.038,1.124,0.126,1,0.535,0.535,4.86,4.76,1,0.11,0.11,0.124,0.018,0.009,0.085,0.009,1
3.322,3.322,0,1,0.235,0.235,0.336,0,1,0.699,0.699,2.322,-0.056,-0.013,-0.019,-0.013,1
0.82,1.341,0.172,0.84,0.422,0.503,1.978,3.918,1,0.06,0.06,0.096,0.141,0.059,0.985,0.059,1
0.872,1.277,0.073,0.824,0.663,0.805,3.715,14.004,1,0.077,0.077,0.12,0.048,0.032,0.414,0.032,1
0.501,1.333,0.063,0.834,0.41,0.492,1.967,10.423,1,0.077,0.077,0.123,0.199,0.082,1.06,0.082,1
0.403,1.531,0.029,0.874,0.205,0.234,0.675,12.277,1,0.071,0.071,0.124,0.096,0.02,0.277,0.02,1
0.639,1.695,0.01,0.889,0.233,0.263,0.641,42.764,1,0.04,0.04,0.076,0.228,0.053,1.342,0.053,1
1.102,2.25,0.087,0.934,0.332,0.355,0.639,9.146,1,0.031,0.031,0.074,0.503,0.167,5.414,0.167,1
1.573,2.835,0.122,0.95,0.571,0.601,0.929,13.996,1,0.067,0.067,0.201,0.458,0.262,3.889,0.262,1
1.76,4.496,0.484,0.936,0.23,0.246,0.317,2.288,1,0.062,0.062,0.298,1.814,0.418,6.751,0.418,1
0.646,1.63,0.084,0.706,0.374,0.53,1.371,10.255,1,0.007,0.007,0.015,0.113,0.042,6.453,0.042,1
4.899,6.672,1.637,0.67,0.743,1.108,1.303,4.515,1,0.1,0.1,0.992,0.082,0.061,0.612,0.061,1
2.757,3.778,1.009,0.734,0.796,1.085,1.475,4.061,1,0.109,0.109,0.56,0.071,0.057,0.522,0.057,1
3.096,3.83,0.481,0.707,1.111,1.571,2.127,12.523,1,0.042,0.042,0.229,0.115,0.128,3.021,0.128,1
7.456,9.271,3.388,0.733,1.074,1.466,1.643,4.012,1,0.056,0.056,0.713,0.052,0.056,0.994,0.056,1
3.707,4.706,1.315,0.706,0.914,1.295,1.644,4.634,1,0.058,0.058,0.387,0.022,0.02,0.343,0.02,1
2.391,3.131,0.206,0.692,0.706,1.02,1.499,15.535,1,0.117,0.117,0.53,0.024,0.017,0.142,0.017,1
1.772,2.242,0.233,0.687,0.768,1.118,2.018,10.764,1,0.128,0.128,0.418,0.022,0.017,0.131,0.017,1
0.216,0.495,0.004,0.24,0.008,0.035,-0.034,4.695,1,0.267,0.267,0.551,-0.143,-0.001,-0.005,-0.001,0
0.214,0.501,0.004,0.245,0.026,0.108,-0.108,14.607,1,0.265,0.265,0.543,-1.654,-0.044,-0.164,-0.044,0
0.264,0.542,0.004,0.244,0.118,0.482,-0.571,64.706,1,0.262,0.262,0.582,-0.513,-0.06,-0.23,-0.06,0
0.3,0.616,0.004,0.254,0,0,0,0.029,1,0.251,0.251,0.61,"-1619.87",-0.082,-0.324,-0.082,0
0.372,0.6,0.006,0.206,0.179,0.87,-1.307,91.833,1,0.221,0.221,0.644,-0.374,-0.067,-0.303,-0.067,0
0.29,0.456,0.004,0.212,0.214,1.01,-0.847,104.51,1,0.04,0.04,0.085,-0.384,-0.082,-2.07,-0.082,0
0.277,0.487,0.005,0.198,0.31,1.568,-1.488,159.265,1,0.014,0.014,0.036,-0.603,-0.187,-12.974,-0.187,0
0.322,0.602,0.007,0.179,0.307,1.719,-2.598,140.904,1,0.021,0.021,0.07,-0.019,-0.006,-0.277,-0.006,0
0.239,1.272,0.188,0.898,0.101,0.112,0.524,0.758,1,0.294,0.294,0.416,0.052,0.005,0.018,0.005,1
0.273,1.265,0.244,0.897,0.088,0.098,0.469,0.509,1,0.29,0.29,0.409,0.041,0.004,0.013,0.004,1
0.287,1.254,0.259,0.894,0.117,0.131,0.649,0.636,1,0.287,0.287,0.403,0.066,0.008,0.027,0.008,1
0.28,1.209,0.162,0.887,0.147,0.166,0.959,1.238,1,0.266,0.266,0.362,0.076,0.011,0.042,0.011,1
0.283,1.177,0.153,0.885,0.154,0.174,1.158,1.34,1,0.248,0.248,0.33,0.052,0.008,0.032,0.008,1
0.257,1.179,0.136,0.875,0.218,0.249,1.64,2.165,1,0.258,0.258,0.347,0.091,0.02,0.077,0.02,1
0.243,1.171,0.138,0.871,0.222,0.255,1.746,2.156,1,0.256,0.256,0.344,0.063,0.014,0.055,0.014,1
0.286,1.149,0.156,0.854,0.206,0.241,1.856,1.775,1,0.257,0.257,0.346,0.078,0.016,0.062,0.016,1
3.378,3.423,0.866,0.588,0.261,0.444,0.627,1.755,1.028,0.186,0.191,1.11,0.192,0.05,0.263,0.049,1
4.5,4.548,1.018,0.598,0.248,0.415,0.532,1.854,1.036,0.217,0.225,1.707,0.129,0.032,0.142,0.031,1
3.821,3.875,0.794,0.565,0.243,0.431,0.581,2.102,1.052,0.22,0.232,1.589,0.076,0.018,0.08,0.018,1
4.433,4.484,0.743,0.554,0.211,0.38,0.489,2.295,1.038,0.231,0.24,1.943,0.075,0.016,0.066,0.015,1
4.634,4.684,1.674,0.55,0.163,0.297,0.377,0.83,1.15,0.236,0.271,2.31,0.066,0.011,0.04,0.009,1
4.391,4.524,1.532,0.591,0.235,0.397,0.51,1.172,1.04,0.172,0.179,1.367,0.106,0.025,0.139,0.024,1
3.113,3.448,1.414,0.567,0.189,0.333,0.469,0.812,1.01,0.101,0.102,0.618,0.145,0.027,0.269,0.027,1
3.47,3.553,0.879,0.544,0.188,0.346,0.482,1.4,1,0.095,0.095,0.618,0.075,0.014,0.149,0.014,1
0.942,0.966,0.069,0.807,0.012,0.015,-0.425,0.211,1,0.012,0.012,0.014,0.01,0,0.01,0,0
0.893,0.903,0.058,0.759,0,0,0,0,1,0.012,0.012,0.014,0,0,-0.017,0,0
0,0,0,1,12.375,12.375,12.375,0,1,0,0,0,-0.153,-1.895,0,-1.895,0
0.665,0.804,0.031,0.429,1.138,2.655,-10.867,69.673,1,0.028,0.028,0.053,-0.04,-0.046,-1.631,-0.046,0
0.827,0.96,0,0.49,0.395,0.808,-19.256,"2887.56",1,0.027,0.027,0.053,-0.098,-0.039,-1.449,-0.039,0
0.93,1.422,0.12,0.451,0.099,0.22,0.741,2.598,1,0.035,0.035,0.109,0.021,0.002,0.061,0.002,0
1.338,2.062,0.143,0.386,0.111,0.287,0.557,4.15,1,0.077,0.077,0.412,-0.011,-0.001,-0.015,-0.001,0
1.037,1.255,0.252,0.527,0.383,0.727,3.573,3.622,1,0.073,0.073,0.173,0.031,0.012,0.165,0.012,0
0.486,1.422,0.049,0.436,0.084,0.192,0.646,5.515,1,0.332,0.332,1.081,0.102,0.009,0.026,0.009,1
0.788,1.444,0.018,0.417,0.191,0.458,1.488,37.749,1,0.338,0.338,1.171,0.041,0.008,0.023,0.008,1
0.746,1.5,0.085,0.505,0.292,0.578,1.736,10.146,1,0.465,0.465,1.38,0.039,0.012,0.025,0.012,1
0.574,1.492,0.049,0.596,0.184,0.309,0.939,9.437,1,0.538,0.538,1.346,0.048,0.009,0.016,0.009,1
0.852,1.457,0.096,0.672,0.226,0.337,1.074,5.125,1,0.457,0.457,0.99,0.057,0.013,0.028,0.013,1
1.066,1.781,0.356,0.794,0.217,0.273,0.621,1.363,1,0.432,0.432,0.968,-0.221,-0.048,-0.111,-0.048,1
1.252,1.927,0.464,0.815,0.163,0.2,0.415,0.828,1,0.38,0.38,0.898,0.03,0.005,0.013,0.005,1
1.354,2.382,0.495,0.863,0.112,0.13,0.223,0.624,1,0.368,0.368,1.014,-0.444,-0.05,-0.135,-0.05,1
0.345,0.345,0.022,0.015,0.016,1.062,-0.558,16.33,1,0.957,0.957,22.434,0.385,0.006,0.006,0.006,0
0.286,0.286,0.002,0.014,0.004,0.282,-0.113,46.927,1,0.95,0.95,18.817,-0.77,-0.003,-0.003,-0.003,0
0.251,0.251,0.009,0.012,0,0,0,0,1,0.953,0.953,20.246,0,-0.014,-0.015,-0.014,0
0.308,0.308,0.002,0.012,0.002,0.189,-0.084,35.442,1,0.962,0.962,25.182,-6.463,-0.014,-0.015,-0.014,0
0.747,0.747,0.004,0.078,0.028,0.358,-1.053,66.096,1,0.895,0.895,8.524,-0.037,-0.001,-0.001,-0.001,0
0.805,0.805,0.137,0.094,0.065,0.696,-2.882,4.09,1,0.007,0.007,0.06,0.38,0.025,3.569,0.025,0
0.58,0.58,0.102,0.074,0.073,0.993,-1.369,5.621,1,0.014,0.014,0.112,0.292,0.021,1.5,0.021,0
0.171,0.216,0.007,0.036,0.011,0.322,-0.089,9.452,1,0.002,0.002,0.011,0.359,0.004,2.26,0.004,0
3.785,2.851,0.094,0.881,0.416,0.472,0.726,14.245,1,0,0,0.001,0.147,0.061,217.616,0.061,1
4.362,3.255,0.281,0.856,0.43,0.502,0.725,5.821,1,0.004,0.004,0.015,0.113,0.048,12.161,0.048,1
4.369,3.406,0.42,0.851,0.509,0.598,0.847,4.847,1,0.009,0.009,0.035,0.115,0.059,6.64,0.059,1
4.724,3.768,0.258,0.86,0.462,0.537,0.731,7.829,1,0.006,0.006,0.025,0.172,0.079,13.852,0.079,1
3.306,3.017,0.256,0.843,0.533,0.633,0.946,7.463,1,0.003,0.003,0.011,0.345,0.184,60.999,0.184,1
3.318,3.271,1.243,0.805,0.541,0.672,0.968,1.768,1,0.003,0.003,0.014,0.187,0.101,29.009,0.101,1
3.04,2.995,1.181,0.762,0.493,0.648,0.972,1.642,1,0.008,0.008,0.031,0.183,0.09,11.557,0.09,1
3.098,2.702,0.568,0.858,0.65,0.758,1.203,3.607,1,0.005,0.005,0.017,0.144,0.093,17.154,0.093,1
2.587,2.641,0.288,0.754,1.204,1.596,2.569,14.624,1,0.101,0.101,0.354,0.217,0.262,2.589,0.262,1
2.1,2.208,0.163,0.656,0.721,1.099,2.009,14.912,1,0.189,0.189,0.638,0.139,0.1,0.528,0.1,1
1.923,1.98,0.175,0.661,1.128,1.706,3.446,19.279,1,0.2,0.2,0.599,0.129,0.145,0.727,0.145,1
1.585,1.671,0.192,0.594,0.927,1.56,3.885,13.591,1,0.106,0.106,0.299,0.089,0.083,0.778,0.083,1
1.822,2.135,0.068,0.533,0.496,0.931,1.751,29.054,1,0.07,0.07,0.279,0.071,0.035,0.504,0.035,1
1.78,1.886,0.1,0.606,0.69,1.14,2.427,21.466,1,0,0,0,0.114,0.079,0,0.079,1
1.557,1.745,0.342,0.52,0.774,1.488,3.487,7.592,1,0.031,0.031,0.103,0.218,0.169,5.526,0.169,1
1.328,1.502,0.061,0.511,0.411,0.804,2.406,19.708,1,0.192,0.192,0.565,0.162,0.066,0.346,0.066,1
0.605,1.107,0.005,0.95,1.083,1.139,11.779,269.937,1,0.005,0.005,0.006,0.023,0.025,5.251,0.025,1
0.581,1.078,0.003,0.969,0.968,0.999,13.793,384.134,1,0.006,0.006,0.007,0.029,0.028,4.382,0.028,1
0.524,1.065,0.011,0.976,1.147,1.175,19.154,112.326,1,0.004,0.004,0.005,0.016,0.019,4.506,0.019,1
0.578,1.059,0.001,0.973,1.625,1.67,30.198,"1304.00",1,0.003,0.003,0.003,0.017,0.027,8.766,0.027,1
0.693,1.139,0.015,0.971,1.653,1.704,13.988,125.892,1,0.012,0.012,0.014,0.022,0.037,3.084,0.037,1
0.809,1.144,0.011,0.971,1.823,1.878,14.951,192.077,1,0.013,0.013,0.015,0.025,0.045,3.454,0.045,1
0.793,1.136,0.06,0.977,2.053,2.101,17.597,39.696,1,0.017,0.017,0.02,0.025,0.051,2.956,0.051,1
0.762,1.09,0.037,0.971,2.069,2.132,25.698,63.427,1,0.021,0.021,0.023,0.022,0.046,2.199,0.046,1
0.322,0.416,0.052,0.219,0.449,2.054,-1.464,16.475,1,0.077,0.077,0.146,0.325,0.146,1.9,0.146,0
-0.43,-0.558,-0.059,0.268,0.559,2.086,0.747,19.904,-1,0.065,-0.065,0.135,-0.44,-0.246,3.788,0.246,0
-0.782,-0.877,-0.098,0.382,0.513,1.341,0.627,11.988,-1,0.052,-0.052,0.12,-0.409,-0.21,4.007,0.21,0
-0.581,-0.657,-0.117,0.385,0.553,1.436,0.57,8.085,-1,0.059,-0.059,0.101,-0.427,-0.236,3.98,0.236,0
-0.296,-0.402,-0.192,0.225,0.602,2.67,0.766,5.603,-1,0.056,-0.056,0.1,-0.405,-0.244,4.351,0.244,0
-0.496,-0.572,-0.353,0.22,0.372,1.687,0.613,2.733,-1,0.035,-0.035,0.091,-0.553,-0.206,5.833,0.206,0
1.747,1.843,1.678,0.563,0.297,0.528,1.154,0.58,1,0.028,0.028,0.093,0.553,0.164,5.808,0.164,0
1.199,1.279,1.162,0.482,0.362,0.752,3.451,0.827,1,0.027,0.027,0.072,0.552,0.2,7.35,0.2,0
1.158,1.235,0.106,0.547,0.321,0.588,3.085,6.838,1,0.073,0.073,0.165,0.195,0.063,0.858,0.063,1
0.713,0.762,0.077,0.466,0.739,1.585,-5.069,15.607,1.636,0.11,0.179,0.293,0.159,0.118,0.656,0.072,1
2.162,2.281,0.513,0.481,0.197,0.409,0.729,1.822,0.536,0.068,0.036,0.172,0.066,0.013,0.358,0.024,1
1.254,1.39,0.373,0.388,0.223,0.575,2.05,2.143,0.647,0.075,0.049,0.174,0.081,0.018,0.374,0.028,1
1.059,1.166,0.205,0.45,0.417,0.927,6.524,5.283,1,0.106,0.106,0.274,0.118,0.049,0.466,0.049,1
1.251,1.35,0.287,0.499,0.457,0.915,3.531,4.302,1,0.103,0.103,0.277,0.118,0.054,0.527,0.054,1
1.257,1.375,0.136,0.514,0.317,0.617,2.263,6.235,1,0.114,0.114,0.305,0.016,0.005,0.044,0.005,1
1.421,1.586,0.162,0.449,0.326,0.726,1.964,7.122,1,0.119,0.119,0.419,0.031,0.01,0.086,0.01,1
0.895,1.301,0.236,0.634,0.759,1.198,5.174,6.591,1,0.272,0.272,0.559,0.037,0.028,0.104,0.028,1
0.835,1.217,0.202,0.677,0.981,1.449,8.14,8.731,1,0.095,0.095,0.171,0.007,0.007,0.069,0.007,1
1.041,1.727,0.341,0.918,1.368,1.491,3.541,7.561,1,0.469,0.469,0.882,0.053,0.072,0.153,0.072,1
1.029,1.835,0.175,0.937,1.522,1.624,3.568,17.014,1,0.489,0.489,0.958,0.028,0.042,0.086,0.042,1
0.923,1.674,0.074,0.943,1.353,1.434,3.563,32.451,1,0.436,0.436,0.774,0.019,0.025,0.058,0.025,1
0.636,1.522,0.044,0.96,1.218,1.268,3.696,43.774,1,0.369,0.369,0.585,0.092,0.112,0.304,0.112,1
0.573,1.51,0.072,0.972,1.47,1.513,4.478,31.552,1,0.357,0.357,0.555,0.126,0.185,0.519,0.185,1
0.653,1.314,0.23,0.95,1.823,1.919,8.039,10.98,1,0.277,0.277,0.383,0.137,0.249,0.902,0.249,1
0.556,1.571,0.246,0.389,1.056,2.715,7.473,17.324,1,0.274,0.274,1.105,0.056,0.06,0.218,0.06,1
0.555,1.009,0.342,0.379,0.98,2.587,288.855,7.626,1,0.171,0.171,0.454,0.078,0.077,0.449,0.077,1
1.266,2.082,0.836,0.497,1.217,2.446,4.708,6.094,1,0.238,0.238,0.996,0.091,0.111,0.467,0.111,1
1.197,2.04,0.804,0.513,1.189,2.315,4.541,5.87,1,0.253,0.253,1.006,0.038,0.045,0.178,0.045,1
0.641,1.719,0.087,0.389,1.422,3.657,8.74,72.296,1,0.335,0.335,1.48,3.437,4.886,14.606,4.886,1
0.575,1.572,0.173,0.395,1.272,3.222,8.854,29.33,1,0.349,0.349,1.39,0.044,0.056,0.161,0.056,1
0.744,1.802,0.296,0.399,0.977,2.451,5.509,14.94,1,0.411,0.411,1.86,0.037,0.036,0.088,0.036,1
0.502,1.286,0.151,0.373,1.195,3.204,14.413,27.355,1,0.271,0.271,0.934,0.086,0.103,0.38,0.103,1
0.525,1.501,0.319,0.47,0.403,0.857,2.568,4.036,1,0.151,0.151,0.482,0.196,0.079,0.523,0.079,1
0.748,1.739,0.615,0.568,0.351,0.618,1.455,1.747,1,0.136,0.136,0.415,0.232,0.081,0.6,0.081,1
0.74,1.645,0.591,0.619,0.434,0.701,1.788,1.951,1,0.146,0.146,0.388,0.123,0.053,0.365,0.053,1
1.41,2.087,1.208,0.84,0.336,0.4,0.768,0.691,1,0.151,0.151,0.374,0.038,0.013,0.086,0.013,1
1.57,2.124,1.318,0.827,0.339,0.41,0.775,0.661,1,0.153,0.153,0.393,0.025,0.009,0.056,0.009,1
1.393,2.088,0,0.809,0.396,0.489,0.939,0,1,0.153,0.153,0.395,0.093,0.037,0.242,0.037,1
1.229,1.688,0,0.831,0.18,0.216,0.531,0,1,0.012,0.012,0.024,0.131,0.024,2.009,0.024,1
0.842,1.242,0,0.615,0.21,0.341,1.755,0,1,0.011,0.011,0.023,0.184,0.039,3.423,0.039,1
0.159,0.161,0.084,0.203,0.036,0.176,-0.034,0.337,1,0.43,0.43,0.341,-2.706,-0.097,-0.225,-0.097,0
0.131,0.136,0.018,0.107,0.034,0.318,-0.05,2.455,1,0.857,0.857,1.083,-1.932,-0.066,-0.077,-0.066,0
0.186,0.192,0.034,0.109,0.027,0.25,-0.059,1.411,1,0.999,0.999,1.758,-2.788,-0.076,-0.076,-0.076,0
0.239,0.247,0.061,0.104,0.034,0.33,-0.109,1.338,1,1.056,1.056,2.502,-3.158,-0.109,-0.103,-0.109,0
0.003,0.003,0,0.091,2.777,30.437,-0.087,261.977,1,1.03,103.026,3.216,-3.486,-9.679,-0.094,-0.097,0
0.328,0.345,0.039,0.076,0.025,0.33,-0.174,2.953,1,0.78,0.78,3.553,-14.405,-0.36,-0.462,-0.36,0
0.418,0.435,0.072,0.07,0.032,0.462,-0.355,2.774,1,0.74,0.74,4.578,-1.07,-0.035,-0.047,-0.035,0
0.531,0.626,0.049,0.096,0.046,0.484,-0.809,6.165,1,0.61,0.61,3.98,-1.628,-0.076,-0.124,-0.076,0
1.788,2.451,0.982,0.81,0.962,1.188,2.007,2.966,1,0.002,0.002,0.005,0.239,0.23,145.471,0.23,1
2.176,2.845,1.437,0.793,1.076,1.357,2.092,2.687,1,0.001,0.001,0.003,0.244,0.262,372.616,0.262,1
1.695,2.364,1.159,0.797,1.159,1.454,2.52,2.966,1,0.001,0.001,0.003,0.248,0.288,257.452,0.288,1
1.614,2.14,1.211,0.749,1.072,1.432,2.689,2.532,1,0.003,0.003,0.009,0.183,0.196,63.426,0.196,1
1.551,1.93,1.257,0.723,0.823,1.137,2.36,1.747,1,0.001,0.001,0.003,0.203,0.167,144.455,0.167,1
1.721,2.344,1.322,0.645,0.818,1.268,2.211,2.248,1,0.004,0.004,0.014,0.242,0.198,52.502,0.198,1
2.124,2.616,1.606,0.638,0.866,1.358,2.198,2.212,1,0.005,0.005,0.022,0.281,0.243,44.922,0.243,1
1.415,1.668,1.17,0.676,0.786,1.162,2.901,1.657,1,0.005,0.005,0.011,0.244,0.192,42.421,0.192,1
0.418,0.489,0.012,0.982,0.047,0.048,-0.046,2.024,1,0.121,0.121,0.06,-0.224,-0.01,-0.087,-0.01,0
0.423,0.485,0.007,0.97,0.022,0.022,-0.021,1.447,1,0.121,0.121,0.06,-29.032,-0.625,-5.176,-0.625,0
0.668,0.746,0.128,0.966,0.656,0.679,-1.995,3.955,1,0.102,0.102,0.079,-0.868,-0.57,-5.578,-0.57,0
0.691,0.989,0.005,0.984,0.607,0.617,-57.936,122.135,1,0.024,0.024,0.024,-0.069,-0.042,-1.732,-0.042,0
0.641,1.019,0.006,0.98,0.563,0.574,30.082,91.576,1,0.019,0.019,0.02,-0.118,-0.067,-3.525,-0.067,0
0.43,1.133,0.045,0.982,0.714,0.727,6.178,18.418,1,0.017,0.017,0.02,0.074,0.053,3.054,0.053,0
1.158,1.642,0.338,0.987,0.708,0.717,1.833,3.478,1,0.283,0.283,0.47,0.052,0.037,0.13,0.037,0
1.072,2.199,0.632,0.97,0.108,0.112,0.205,0.389,1,0.252,0.252,0.572,-0.138,-0.015,-0.059,-0.015,0
0.594,0.633,0.026,0.051,0.005,0.089,-0.154,2.18,1,0.139,0.139,1.716,-4.813,-0.022,-0.159,-0.022,0
0.643,0.68,0.059,0.054,0.006,0.108,-0.23,1.248,1,0.136,0.136,1.718,-9.028,-0.053,-0.387,-0.053,0
0.78,0.836,0.095,0.057,0.016,0.279,-1.422,2.448,1,0.13,0.13,1.897,-3.751,-0.06,-0.462,-0.06,0
0.074,0.081,0.024,0.074,0.075,1.013,-0.089,3.454,1,0.12,0.12,0.131,-0.572,-0.043,-0.356,-0.043,0
0.062,0.072,0.029,0.064,0.067,1.051,-0.082,2.626,1,0.11,0.11,0.125,-0.432,-0.029,-0.263,-0.029,0
0.044,0.049,0.009,0.105,0.142,1.356,-0.069,6.973,2.525,0.107,0.27,0.125,-0.386,-0.055,-0.203,-0.022,0
0.162,0.179,0.035,0.105,0.119,1.132,-0.246,5.822,1,0.264,0.264,0.45,-0.527,-0.063,-0.237,-0.063,0
0.106,0.116,0.005,0.119,0.051,0.426,-0.056,10.182,1,0.25,0.25,0.245,-3.448,-0.174,-0.698,-0.174,0
9.141,9.16,2.427,0.132,0,0.001,0.001,0.002,1,0.863,0.863,60.098,-173.54,-0.015,-0.017,-0.015,0
2.376,2.38,0.631,0.132,0.001,0.004,0.007,0.016,1.084,0.878,0.951,17.221,-48.425,-0.027,-0.028,-0.025,0
6.977,6.98,2.39,0.166,0.015,0.088,0.103,0.257,1,0.949,0.949,39.838,-0.646,-0.009,-0.01,-0.009,0
4.583,4.584,2.127,0.198,0.003,0.014,0.018,0.03,1,0.894,0.894,20.74,-6.124,-0.017,-0.019,-0.017,0
7.294,7.298,4.065,0.268,0.012,0.046,0.053,0.083,1,0.88,0.88,23.936,-1.44,-0.018,-0.02,-0.018,0
3.148,3.148,0.967,0.26,0.021,0.08,0.118,0.262,1,0.744,0.744,9.019,-0.469,-0.01,-0.013,-0.01,0
1.429,1.429,0.509,0.557,0,0,0,0,1,0.585,0.585,1.501,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.632,0.722,0.012,0.774,0.055,0.072,-0.186,4.423,1,0.179,0.179,0.167,-0.599,-0.033,-0.186,-0.033,0
