no_of_ifs,no_of_switches,no_of_loop,no_of_break,priority_queue_present,no_of_sort,hash_set_present,hash_map_present,recursion_present,nested_loop_depth,noOfVariables,noOfMethods,noOfJumps,noOfStatements,complexity
9,0,8,0,0,0,0,0,0,2,32,8,5,46,n
0,0,2,0,0,0,0,0,0,1,9,1,0,11,n
3,0,4,0,0,0,0,0,0,1,11,1,0,24,n
10,0,4,0,0,0,0,0,0,1,20,5,5,31,n
2,0,2,1,0,0,0,0,0,1,10,1,1,14,n
4,0,3,0,0,0,0,0,0,2,18,2,1,23,n
2,0,7,0,0,0,0,0,1,2,18,4,3,20,n
1,0,2,0,0,0,0,0,0,1,13,1,0,17,n
3,0,3,3,0,0,0,0,0,2,9,4,5,16,n
7,0,7,0,0,0,0,0,0,1,35,7,6,40,n
1,0,1,0,0,0,0,0,0,1,11,3,2,9,n
17,0,11,0,0,0,0,0,0,2,67,9,12,63,n
0,0,2,0,0,0,0,0,0,1,7,1,0,6,n
7,0,6,0,0,0,0,0,1,1,49,10,9,47,n
2,0,1,1,0,0,0,0,0,1,6,1,1,8,n
2,0,4,1,0,0,0,0,0,2,19,2,1,22,n
2,0,2,0,0,0,0,0,0,1,13,2,2,11,n
3,0,5,0,0,0,0,0,0,2,18,1,1,29,n
8,0,4,0,0,0,0,0,0,1,21,3,3,24,n
1,0,3,0,0,0,0,0,0,1,12,3,2,12,n
2,0,2,0,0,0,0,0,0,1,12,2,2,10,n
0,0,2,0,0,0,0,0,0,1,8,1,0,10,n
6,0,12,0,0,0,0,0,0,2,44,6,4,46,n
0,0,1,0,0,0,0,0,0,1,6,1,0,6,n
0,1,3,3,0,0,0,0,0,1,16,5,6,35,n
0,0,3,0,0,0,0,0,0,2,10,3,2,7,n
0,0,1,0,0,0,0,0,0,1,9,2,0,11,n
2,0,1,0,0,0,0,0,0,1,7,2,1,11,n
4,0,3,0,0,0,0,0,0,1,14,5,5,14,n
4,0,4,1,0,0,0,0,0,2,19,3,3,19,n
1,0,4,0,0,0,0,0,0,1,14,1,0,19,n
2,0,2,1,0,0,0,0,0,2,7,1,1,11,n
0,0,1,0,0,0,0,0,0,1,14,2,1,15,n
2,0,3,0,0,0,0,0,0,1,15,1,1,16,n
3,0,17,0,0,0,0,0,0,8,38,2,0,53,n
1,0,1,1,0,0,0,0,0,1,7,1,1,8,n
0,0,1,0,0,0,0,0,0,1,5,1,0,5,n
4,0,5,1,0,0,0,0,0,2,15,1,2,28,n
2,0,2,0,0,0,0,0,0,1,12,3,2,8,n
0,0,1,0,0,0,0,0,0,1,7,1,0,7,n
2,0,3,0,0,0,0,0,0,1,9,1,1,11,n
2,0,6,0,0,0,0,0,0,1,18,2,1,13,n
10,0,8,0,0,0,0,0,0,2,27,3,2,29,n
0,0,1,0,0,0,0,0,0,1,8,1,0,11,n
7,0,2,1,0,0,0,0,0,1,11,1,1,20,n
3,0,2,0,0,0,0,0,0,1,13,2,1,14,n
2,0,3,0,0,0,0,0,0,1,10,1,0,13,n
1,0,2,0,0,0,0,0,0,1,6,1,0,9,n
5,0,2,0,0,0,0,0,0,1,14,1,0,17,n
2,0,3,0,0,0,1,0,0,2,16,1,0,17,n
2,0,3,0,0,0,0,0,1,1,31,19,4,36,n
2,0,2,0,0,0,0,0,0,1,13,2,1,10,n
2,0,6,0,0,0,0,0,0,1,19,3,2,17,n
1,0,6,0,0,0,0,0,0,2,18,5,5,12,n
1,0,1,0,0,0,0,0,0,1,11,1,0,12,n
4,0,5,2,0,0,0,0,0,2,14,1,4,18,n
2,0,1,0,0,0,0,0,0,1,15,3,0,27,n
1,0,1,0,0,0,1,0,0,1,22,5,2,22,n
2,0,2,0,0,0,0,0,0,1,11,1,0,13,n
2,0,2,0,0,0,1,0,0,1,10,1,0,13,n
1,0,3,0,0,0,0,0,0,1,13,1,0,17,n
2,0,1,0,0,0,0,0,0,1,8,2,2,8,n
2,0,3,0,0,0,0,0,0,1,20,4,0,23,n
4,0,2,0,0,0,0,0,0,1,13,2,2,18,n
3,0,1,0,0,0,0,0,0,1,6,1,0,9,n
3,0,8,0,0,0,0,0,0,2,14,1,0,16,n
4,0,2,1,0,0,0,1,0,1,9,2,3,10,n
10,0,5,0,0,0,0,0,1,1,39,19,4,53,n
0,0,2,0,0,0,0,0,0,1,14,4,0,14,n
0,0,2,0,0,0,0,0,0,1,7,2,0,5,n
7,0,0,0,0,0,0,0,0,0,5,1,7,12,n
10,0,7,0,0,0,0,0,1,1,38,10,8,40,n
3,0,3,0,0,1,0,0,0,2,9,2,2,10,n
3,0,2,0,0,0,0,0,0,1,12,3,2,12,n
7,0,2,1,0,0,0,0,0,1,17,4,5,18,n
7,0,2,4,0,0,0,0,0,1,29,1,4,22,n
1,0,1,0,0,0,0,0,0,1,13,3,2,13,n
7,0,4,0,0,0,0,0,0,2,17,5,6,18,n
1,0,1,0,0,0,0,1,0,1,6,1,0,6,n
1,0,6,0,0,0,0,0,0,2,19,5,4,13,n
2,0,1,0,0,0,0,0,0,1,12,3,3,14,n
2,0,2,0,0,0,0,0,0,1,8,2,2,7,n
2,0,3,1,0,0,0,0,0,1,13,3,3,11,n
4,0,3,0,0,0,0,0,0,2,12,2,1,13,n
2,0,6,0,0,0,0,0,0,2,19,1,0,25,n
2,0,3,0,0,0,1,0,0,1,16,3,2,12,n
12,0,4,0,0,0,0,1,0,1,25,1,0,41,n
1,0,2,0,0,0,0,0,0,1,13,2,2,13,n
4,0,6,0,0,0,0,0,0,2,14,1,2,19,n
6,0,4,0,0,0,0,0,0,1,20,7,7,17,n
6,0,4,0,0,0,0,0,0,1,20,7,7,17,n
13,0,7,3,0,0,0,0,0,1,26,5,8,48,n
2,0,2,0,0,0,0,0,0,1,11,1,0,11,n
0,0,3,0,0,0,0,0,0,1,14,2,1,14,n
1,0,3,0,0,0,0,0,0,1,15,2,1,24,n
0,0,4,0,0,0,0,0,0,2,14,1,0,13,n
2,0,3,0,0,0,0,0,0,1,11,2,1,12,n
1,0,0,0,0,0,0,0,0,0,5,1,0,4,n
0,0,4,0,0,0,0,0,0,2,13,1,0,12,n
1,0,2,0,0,0,0,0,0,1,17,3,1,12,n
6,0,2,0,0,0,0,0,0,1,12,1,0,20,n
4,0,2,0,0,0,0,0,0,1,18,6,6,8,n
3,0,3,0,0,0,0,0,0,1,14,3,2,12,n
3,0,2,0,0,0,0,0,0,1,9,1,0,14,n
3,0,2,0,0,0,0,0,0,1,11,1,0,16,n
3,0,2,0,0,0,0,0,0,1,11,1,0,16,n
3,0,2,0,0,0,0,0,0,1,11,2,0,15,n
3,0,2,0,0,0,0,0,0,1,9,1,0,13,n
3,0,3,0,0,0,0,0,0,1,18,5,5,15,n
4,0,3,0,0,0,0,0,0,1,19,4,4,17,n
0,0,1,0,0,0,0,0,0,1,5,1,0,5,n
0,0,1,0,0,0,0,0,0,1,6,1,0,7,n
0,0,1,0,0,0,0,0,0,1,7,2,1,6,n
2,0,1,0,0,0,1,0,0,1,6,2,1,8,n
3,0,1,0,0,0,0,0,0,1,9,2,1,11,n
3,0,2,0,0,0,0,0,1,1,17,5,4,20,n
1,0,2,0,0,0,0,0,0,1,13,3,3,10,n
0,0,2,0,0,0,0,0,0,1,9,2,1,7,n
1,0,2,0,0,0,0,0,0,1,8,3,2,6,n
1,0,1,0,0,0,0,0,0,1,9,2,1,6,n
1,0,1,0,0,0,0,0,0,1,7,2,2,6,n
0,0,1,0,0,0,0,0,0,1,6,2,1,6,n
0,0,3,0,0,0,0,0,0,1,10,3,0,11,n
3,0,2,0,0,0,0,0,0,1,9,2,0,9,n
3,0,3,0,0,0,0,0,0,2,12,2,1,13,n
2,0,1,0,0,0,0,0,0,1,11,2,0,10,n
0,0,3,0,0,0,0,0,0,1,14,4,0,10,n_square
2,0,4,0,0,0,0,0,0,2,15,6,2,17,n_square
7,0,13,0,0,0,0,1,0,5,38,10,8,47,n_square
2,0,3,0,0,0,0,0,0,2,13,1,0,16,n_square
2,0,3,0,0,0,0,0,0,2,12,4,2,12,n_square
2,0,4,0,0,0,0,0,0,2,12,4,2,14,n_square
1,0,3,0,0,1,0,0,0,3,8,2,1,8,n_square
0,0,5,0,0,0,0,0,0,2,15,1,0,14,n_square
3,0,4,0,0,0,0,0,0,2,16,3,2,17,n_square
1,0,6,0,0,0,0,0,0,2,18,4,4,15,n_square
2,0,4,0,0,0,0,0,0,2,27,5,3,20,n_square
1,0,2,0,0,0,0,0,0,2,10,2,1,6,n_square
1,0,2,0,0,0,0,0,0,2,8,2,0,9,n_square
3,0,2,0,0,0,0,0,0,1,21,4,4,12,n_square
1,0,3,0,0,0,0,0,0,2,11,2,1,9,n_square
1,0,3,0,0,0,0,0,0,2,10,2,2,10,n_square
2,0,2,1,0,0,0,0,0,2,8,2,1,6,n_square
3,0,2,0,0,0,0,0,0,2,10,2,0,11,n_square
2,0,2,1,0,0,0,0,0,2,12,2,3,11,n_square
4,0,3,0,0,0,0,0,1,2,23,4,3,26,n_square
2,0,2,0,0,0,0,1,0,2,10,2,0,10,n_square
2,0,5,0,0,0,0,0,0,2,10,2,0,13,n_square
6,0,5,4,0,0,0,0,0,2,12,2,4,17,n_square
3,0,3,0,0,0,0,0,0,2,9,2,1,9,n_square
1,0,3,0,0,0,0,0,0,2,9,3,0,24,n_square
0,0,3,0,0,0,0,0,0,2,13,2,0,15,n_square
0,0,2,0,0,0,0,0,0,2,10,2,1,8,n_square
0,0,2,0,0,0,0,0,0,2,10,3,0,9,n_square
0,0,5,0,0,0,0,0,0,2,13,3,1,15,n_square
2,0,4,0,0,0,0,0,0,1,18,4,1,25,n_square
6,0,1,0,0,0,0,0,1,1,16,4,4,22,n_square
1,0,2,0,0,0,0,0,0,2,9,2,0,7,n_square
2,0,2,1,0,0,0,0,0,2,10,2,1,9,n_square
0,0,2,0,0,0,0,0,0,2,9,2,1,7,n_square
0,0,3,0,0,0,0,0,0,2,11,2,0,8,n_square
2,0,2,0,0,0,0,0,0,2,12,2,1,12,n_square
3,0,3,1,0,0,0,0,0,2,14,3,4,11,n_square
0,0,0,0,0,0,0,0,0,0,4,2,1,3,n_square
1,0,2,0,0,0,0,0,0,2,8,3,2,5,n_square
1,0,2,0,0,0,0,0,0,2,7,2,1,5,n_square
0,0,2,0,0,0,0,0,0,1,10,2,0,9,n_square
2,0,5,0,0,0,1,0,0,2,19,3,1,19,n_square
2,0,2,0,0,0,0,0,0,2,10,2,1,7,n_square
2,0,2,1,0,0,0,0,0,2,10,2,1,9,n_square
1,0,2,0,0,0,0,0,0,2,7,2,1,5,n_square
2,0,4,0,0,0,0,0,0,2,12,2,2,10,n_square
0,0,3,0,0,0,0,0,0,2,6,2,1,5,n_square
0,0,3,0,0,0,0,0,0,2,6,2,1,6,n_square
1,0,2,0,0,0,0,0,0,2,10,3,2,6,n_square
1,0,2,0,0,0,0,0,0,2,8,2,1,6,n_square
0,0,4,0,0,0,0,0,0,2,17,2,1,11,n_square
1,0,7,0,0,0,0,0,1,1,21,4,0,24,n_square
2,0,4,0,0,0,0,0,0,2,12,2,1,10,n_square
6,0,3,0,0,0,0,0,0,2,12,2,3,12,n_square
1,0,2,0,0,1,0,0,0,2,9,2,1,9,n_square
0,0,2,0,0,0,0,0,0,2,9,2,1,8,n_square
4,0,2,0,0,0,0,0,1,2,9,3,6,4,n_square
3,0,2,0,0,0,0,0,0,2,8,2,1,8,n_square
2,0,6,0,0,0,0,0,0,2,14,2,1,11,n_square
2,0,4,0,0,0,0,0,0,2,9,2,1,8,n_square
2,0,4,0,0,0,0,0,0,2,11,2,1,8,n_square
2,0,4,0,0,0,0,0,0,2,11,2,1,8,n_square
2,0,4,0,0,0,0,0,0,2,11,2,1,7,n_square
3,0,3,0,0,0,0,0,0,2,13,2,1,10,n_square
2,0,4,0,0,0,0,0,0,2,10,2,1,7,n_square
2,0,8,0,0,0,0,0,0,2,11,2,0,20,n_square
1,0,4,0,0,0,0,0,0,2,11,2,1,9,n_square
0,0,5,0,0,0,0,0,0,2,11,2,1,8,n_square
1,0,4,0,0,0,0,0,0,2,11,3,3,8,n_square
2,0,2,1,0,0,0,0,0,2,7,2,3,7,n_square
5,0,1,0,0,1,0,0,1,1,14,3,6,7,n_square
5,0,2,0,0,0,0,0,0,2,13,3,4,8,n_square
2,0,2,0,0,0,0,0,0,2,13,2,1,11,n_square
2,0,2,0,0,0,0,0,0,2,12,2,1,13,n_square
2,0,3,2,0,0,0,0,0,2,11,2,3,9,n_square
5,0,8,0,0,0,0,0,0,2,12,2,2,26,n_square
3,0,7,0,0,0,0,0,0,2,10,2,1,12,n_square
2,0,2,0,0,0,0,0,0,2,9,2,1,11,n_square
2,0,3,0,0,0,0,0,0,2,9,2,1,8,n_square
3,0,4,0,0,0,0,0,0,2,15,3,1,17,n_square
3,0,4,0,0,0,0,0,0,2,11,2,1,11,n_square
0,0,4,0,0,0,0,0,0,2,17,3,1,14,n_square
5,0,3,0,0,0,0,0,0,2,11,2,2,12,n_square
3,0,3,0,0,0,0,0,0,2,10,2,1,9,n_square
3,0,1,0,0,0,0,0,1,1,12,3,2,9,n_square
2,0,1,0,0,0,0,0,1,1,16,3,3,10,n_square
6,0,1,0,0,0,0,0,1,1,16,4,4,22,n_square
5,0,1,0,0,0,0,0,1,1,14,4,4,16,n_square
4,0,1,0,0,0,0,0,1,1,23,4,6,15,n_square
5,0,4,0,0,0,0,0,1,2,14,2,1,17,n_square
4,0,1,0,0,0,0,0,1,1,21,4,5,16,n_square
4,0,1,1,0,0,0,0,1,1,27,5,7,18,n_square
8,0,0,0,0,0,0,0,1,0,13,4,2,29,n_square
4,0,0,0,0,0,0,0,1,0,11,3,5,12,n_square
4,0,0,0,0,0,0,0,1,0,11,4,6,10,n_square
6,0,1,0,0,0,0,0,1,1,27,5,9,19,n_square
2,0,5,0,0,0,0,0,0,2,20,4,1,20,n_square
2,0,5,0,0,0,0,0,0,2,20,4,1,17,n_square
2,0,3,1,0,0,0,0,0,2,13,2,2,11,n_square
2,0,4,1,0,0,0,0,0,2,13,2,1,12,n_square
2,0,4,1,0,0,0,0,0,2,16,3,1,12,n_square
2,0,4,1,0,0,0,0,0,2,14,3,1,33,n_square
3,0,4,0,0,0,0,0,1,2,19,6,4,15,n_square
2,0,2,0,0,0,0,0,0,2,11,2,1,13,n_square
2,0,2,1,0,0,0,0,0,2,7,2,1,7,n_square
2,0,3,0,0,0,0,0,0,2,13,1,0,12,n_square
5,0,5,0,0,0,0,0,0,2,20,5,5,20,n_square
5,0,6,0,0,0,0,0,0,2,16,3,3,18,n_square
4,0,7,1,0,1,0,0,0,4,24,1,1,26,n_square
3,0,4,0,0,0,0,0,0,2,13,1,0,17,n_square
2,0,3,0,0,0,0,0,0,2,14,3,3,14,n_square
3,0,5,1,0,1,1,0,0,2,22,1,1,25,n_square
2,0,4,0,0,0,0,0,0,2,13,3,3,11,n_square
6,0,6,1,0,2,0,0,0,2,12,2,3,22,n_square
4,0,6,0,0,0,0,1,0,3,19,2,2,23,n_square
4,0,3,0,0,0,0,0,0,2,17,2,4,15,n_square
3,0,4,0,0,1,0,0,0,1,10,1,3,12,n_square
7,0,5,0,0,0,0,0,0,2,13,1,0,24,n_square
2,0,3,1,0,0,0,1,0,2,12,1,1,16,n_square
2,0,2,1,0,0,0,0,0,2,14,2,2,13,n_square
4,0,4,1,0,1,0,0,0,2,20,3,3,18,n_square
4,0,5,2,0,0,0,0,0,2,19,1,2,20,n_square
5,0,6,0,0,0,0,0,0,2,23,3,3,22,n_square
10,0,6,2,0,0,0,0,0,2,14,1,2,24,n_square
1,0,4,0,0,0,0,0,0,2,13,1,0,17,n_square
3,0,5,0,0,0,0,0,0,2,20,2,1,22,n_square
1,0,3,0,0,0,0,0,0,2,13,1,0,13,n_square
7,0,8,0,0,0,0,0,0,2,36,8,7,50,n_square
0,0,4,0,0,0,0,0,0,1,15,2,0,15,n_square
7,0,3,1,0,0,0,0,0,2,11,1,4,27,n_square
1,0,2,0,0,0,0,0,0,2,13,2,1,9,n_square
4,0,7,1,0,1,0,0,0,4,24,1,1,26,n_square
3,0,4,0,0,0,0,0,0,2,13,1,0,17,n_square
2,0,3,0,0,0,0,0,0,2,14,3,3,14,n_square
3,0,5,1,0,1,1,0,0,2,22,1,1,25,n_square
2,0,4,0,0,0,0,0,0,2,13,3,3,11,n_square
6,0,6,1,0,2,0,0,0,2,12,2,3,22,n_square
0,0,2,0,0,0,0,0,0,2,10,2,1,8,n_square
4,0,6,0,0,0,0,1,0,3,19,2,2,23,n_square
4,0,3,0,0,0,0,0,0,2,17,2,4,15,n_square
3,0,4,0,0,1,0,0,0,1,10,1,3,12,n_square
2,0,3,0,0,0,0,0,0,2,10,1,0,12,n_square
9,0,10,1,0,0,0,0,0,3,39,8,8,45,n_square
14,0,25,0,0,0,0,0,0,2,60,6,4,52,n_square
2,0,2,1,0,0,0,0,0,2,7,2,3,7,n_square
2,0,3,0,0,0,0,0,0,2,9,3,2,7,n_square
4,0,4,0,0,0,0,0,0,2,24,4,3,24,n_square
17,0,8,0,0,1,0,0,1,1,42,8,14,40,n_square
1,0,2,0,0,0,0,0,0,2,11,1,0,11,n_square
2,0,4,0,0,0,0,0,0,2,11,1,0,10,n_square
2,0,4,0,0,0,0,0,0,2,9,2,1,8,n_square
3,0,4,1,0,0,0,0,0,2,12,1,1,13,n_square
5,0,2,0,0,0,0,0,0,2,18,2,2,22,n_square
4,0,7,0,0,0,0,0,0,2,15,1,0,17,n_square
2,0,3,0,0,0,0,0,0,2,9,1,0,9,n_square
7,0,8,1,0,0,0,0,0,3,27,2,5,17,n_square
5,0,3,1,0,0,0,0,0,2,9,1,1,16,n_square
11,0,12,1,0,0,0,0,0,2,42,7,15,42,n_square
12,0,14,0,0,0,0,0,1,2,65,9,4,68,n_square
2,0,3,0,0,0,0,0,0,2,15,1,0,19,n_square
3,0,6,0,0,0,0,0,0,2,25,1,0,23,n_square
1,0,2,0,0,0,0,0,0,2,7,2,1,4,n_square
1,0,2,0,0,0,0,0,0,2,12,1,0,12,n_square
4,0,8,0,0,1,0,0,0,2,22,2,1,21,n_square
3,0,8,1,0,0,0,0,0,3,24,4,3,21,n_square
1,0,2,0,0,0,0,0,0,2,8,1,0,11,n_square
1,0,5,0,0,0,0,0,0,2,23,5,4,19,n_square
9,0,7,0,0,0,0,0,0,3,26,9,5,28,n_square
2,0,2,0,0,0,0,0,0,2,10,2,1,8,n_square
6,0,8,0,0,0,0,0,0,2,36,3,5,62,n_square
10,0,7,3,0,0,0,0,1,2,25,3,12,29,n_square
1,0,4,0,0,0,0,0,0,2,25,6,3,16,n_square
2,0,4,0,0,0,0,0,0,2,13,2,2,14,n_square
10,0,17,1,0,0,0,0,0,3,42,9,8,57,n_square
0,0,2,0,0,0,0,1,0,2,8,1,0,8,n_square
13,0,8,1,0,0,0,0,0,2,43,10,8,48,n_square
18,0,7,1,0,0,0,0,0,2,32,7,9,39,n_square
5,0,9,0,0,0,0,0,0,2,33,7,6,30,n_square
4,0,4,1,0,0,0,0,1,2,30,13,5,32,n_square
6,0,7,0,0,0,0,0,0,2,20,3,2,20,n_square
1,0,2,0,0,0,0,0,0,2,6,2,1,3,n_square
11,0,9,0,0,0,0,0,0,2,47,9,7,42,n_square
1,0,4,0,0,0,0,0,0,2,8,1,0,7,n_square
2,0,5,0,0,0,0,0,0,2,25,4,2,14,n_square
2,0,2,0,0,0,0,0,0,2,11,2,1,13,n_square
2,0,5,1,0,0,0,0,0,2,22,4,3,21,n_square
5,0,5,0,0,0,0,0,0,2,13,2,2,17,n_square
12,0,2,0,0,0,0,0,0,1,24,3,1,26,n_square
0,0,4,0,0,0,0,0,0,1,16,4,2,19,n_square
9,0,5,0,0,0,0,0,0,2,20,1,0,36,n_square
14,0,4,0,0,0,0,0,0,2,17,1,0,43,n_square
14,0,4,0,0,0,0,0,0,2,16,1,0,41,n_square
4,0,6,0,0,0,0,0,0,3,16,1,0,19,n_square
3,0,6,0,0,0,0,0,0,2,36,5,4,37,n_square
9,0,5,0,0,0,0,0,0,3,21,3,2,32,n_square
3,0,2,0,0,1,0,0,0,2,10,2,0,17,n_square
0,0,2,0,0,0,0,0,0,2,8,2,1,5,n_square
2,0,3,0,0,0,0,0,1,1,23,6,1,22,n_square
4,0,2,0,0,0,0,0,0,2,9,2,1,12,n_square
4,0,2,0,0,0,0,0,0,2,9,2,1,12,n_square
0,0,4,0,0,1,0,0,0,1,13,2,0,15,nlogn
2,0,2,0,0,1,0,0,0,1,11,2,0,15,nlogn
0,0,0,0,0,0,0,0,0,0,6,1,0,1,nlogn
4,0,7,0,0,0,0,0,1,2,24,3,0,35,nlogn
1,0,2,0,0,1,0,0,0,1,9,1,0,11,nlogn
0,0,3,0,0,1,0,0,0,1,9,1,0,11,nlogn
0,0,3,0,0,0,0,0,0,1,11,1,0,12,nlogn
2,0,4,0,0,1,0,0,0,1,14,1,0,20,nlogn
0,0,4,0,0,1,0,0,0,1,13,3,2,13,nlogn
0,0,0,0,0,2,0,0,0,0,9,2,1,7,nlogn
2,0,1,0,0,1,0,0,0,1,17,3,2,13,nlogn
0,0,0,0,0,1,0,0,0,0,5,2,1,4,nlogn
3,0,1,0,0,3,0,0,0,1,25,4,2,22,nlogn
4,0,1,0,0,0,0,0,1,1,13,3,5,8,nlogn
2,0,3,0,0,1,0,0,0,1,11,2,0,12,nlogn
4,0,3,0,0,0,0,0,1,1,17,5,7,33,nlogn
0,0,1,0,0,0,0,0,0,1,6,2,0,10,nlogn
3,0,2,0,0,0,0,0,0,1,13,3,2,13,nlogn
2,0,1,0,0,1,0,0,0,1,9,2,1,10,nlogn
1,0,1,0,0,1,0,0,0,1,9,2,1,9,nlogn
0,0,0,0,0,1,0,0,0,0,5,2,1,4,nlogn
7,0,3,0,0,0,1,0,0,1,13,2,0,19,nlogn
2,0,2,0,0,0,0,0,0,2,11,2,0,11,nlogn
1,0,1,0,0,0,0,0,0,1,9,2,0,10,nlogn
2,0,2,0,0,1,0,0,1,1,17,5,3,18,nlogn
2,0,1,1,0,1,0,0,0,1,8,2,1,9,nlogn
1,0,2,0,1,0,0,0,1,1,18,2,1,27,nlogn
4,0,5,0,0,1,0,0,1,1,27,4,1,44,nlogn
2,0,6,0,0,0,0,0,0,2,27,3,0,41,nlogn
0,0,2,0,0,1,0,0,0,1,9,2,1,10,nlogn
0,0,1,0,0,1,0,0,0,1,7,2,1,7,nlogn
1,0,1,0,0,1,0,0,0,1,11,2,1,16,nlogn
1,0,4,0,0,0,0,0,0,2,16,2,1,13,nlogn
0,0,1,0,0,1,0,0,0,1,6,2,0,5,nlogn
0,0,1,0,0,2,0,0,0,1,9,2,1,8,nlogn
1,0,2,0,1,0,0,0,0,1,8,2,1,9,nlogn
1,0,1,0,1,0,0,0,0,1,9,2,1,10,nlogn
2,0,1,0,0,2,0,0,0,1,9,2,1,9,nlogn
2,0,1,0,0,1,0,0,0,1,7,2,2,6,nlogn
2,0,1,0,0,1,0,0,0,1,9,2,1,13,nlogn
1,0,2,1,0,1,0,0,0,1,19,2,2,16,nlogn
0,0,2,0,0,1,0,0,0,1,15,3,2,11,nlogn
0,0,1,0,0,1,0,0,0,1,10,2,1,9,nlogn
6,0,2,0,0,0,0,0,1,1,25,10,9,30,nlogn
0,0,1,0,0,1,0,0,0,1,10,2,1,8,nlogn
0,0,1,0,0,1,0,0,0,1,11,3,1,10,nlogn
2,0,1,0,0,2,0,0,0,1,11,2,1,13,nlogn
4,0,1,0,0,1,0,0,0,1,14,2,3,16,nlogn
1,0,1,0,0,1,0,0,0,1,10,2,2,8,nlogn
1,0,2,0,0,1,0,0,0,1,10,2,2,10,nlogn
5,0,2,0,0,0,0,0,1,1,23,4,2,27,nlogn
0,0,1,0,0,1,0,0,0,1,6,2,0,5,nlogn
0,0,0,0,0,1,0,0,0,0,5,2,1,4,nlogn
2,0,6,0,0,2,0,0,0,1,15,2,1,21,nlogn
3,0,4,0,0,2,0,0,0,1,13,1,0,22,nlogn
2,0,6,0,0,2,0,0,0,1,15,1,0,21,nlogn
6,0,4,2,0,0,0,0,0,1,22,2,5,26,nlogn
4,0,5,0,0,0,0,0,0,1,19,3,3,24,nlogn
4,0,1,1,0,1,0,0,0,1,10,1,1,18,nlogn
3,0,1,0,0,0,0,0,0,1,10,1,1,15,nlogn
1,0,4,0,0,0,0,0,0,2,15,3,1,11,nlogn
2,0,3,0,0,0,0,0,0,1,15,2,2,13,nlogn
2,0,4,0,0,0,0,0,0,2,15,2,3,14,nlogn
1,0,2,0,0,1,0,0,0,1,11,1,0,13,nlogn
2,0,2,0,0,1,0,0,0,1,12,1,0,19,nlogn
3,0,2,0,0,1,0,0,0,1,11,1,0,18,nlogn
3,0,4,0,0,1,0,0,0,1,16,3,2,24,nlogn
4,0,2,0,0,1,0,0,0,1,23,1,0,29,nlogn
3,0,5,0,0,2,0,0,0,2,17,1,1,21,nlogn
7,0,7,0,0,2,0,0,0,1,35,6,5,41,nlogn
0,0,1,0,0,0,0,0,0,1,5,3,2,3,nlogn
2,0,3,0,0,0,1,0,0,1,16,3,2,12,nlogn
1,0,3,0,0,1,0,0,0,1,12,1,0,17,nlogn
3,0,9,0,0,0,0,0,1,2,65,10,7,62,nlogn
4,0,4,2,0,0,1,0,0,2,15,1,2,18,nlogn
7,0,4,0,0,0,0,0,0,1,15,4,4,22,nlogn
4,0,2,0,0,0,1,0,0,1,14,2,1,18,nlogn
2,0,5,0,1,0,0,0,0,1,25,2,0,24,nlogn
6,0,4,2,0,0,0,0,0,1,22,2,5,26,nlogn
4,0,5,0,0,0,0,0,0,1,19,3,3,24,nlogn
4,0,1,1,0,1,0,0,0,1,10,1,1,18,nlogn
3,0,1,0,0,0,0,0,0,1,10,1,1,15,nlogn
2,0,3,0,0,0,0,0,0,1,15,2,2,13,nlogn
2,0,4,0,0,0,0,0,0,2,15,2,3,14,nlogn
4,0,1,0,0,1,0,0,0,1,14,2,3,16,nlogn
2,0,3,1,0,1,0,0,0,1,21,4,3,23,nlogn
6,0,6,0,0,1,0,0,0,2,35,7,6,36,nlogn
1,0,7,0,0,0,0,0,0,2,32,6,4,31,nlogn
10,0,5,2,0,0,1,0,1,1,17,4,10,15,nlogn
8,0,4,0,0,0,0,0,0,1,16,6,6,21,nlogn
5,0,13,0,0,0,0,0,0,2,45,8,11,36,nlogn
7,0,5,0,0,2,0,0,0,1,25,5,3,30,nlogn
1,0,4,0,0,0,0,0,0,1,20,4,3,23,nlogn
1,0,2,0,0,1,0,0,0,1,11,1,0,13,nlogn
0,0,0,0,0,0,0,0,0,0,14,1,0,1,nlogn
18,0,10,0,0,0,0,0,1,2,50,10,13,71,nlogn
0,0,4,0,0,1,0,0,0,1,14,1,0,14,nlogn
2,0,4,1,0,1,0,0,0,1,13,3,3,13,nlogn
5,0,6,0,0,0,0,0,1,1,31,5,6,34,nlogn
6,0,7,1,0,0,0,0,0,2,31,4,5,48,nlogn
4,0,9,0,0,1,0,0,1,1,37,9,6,54,nlogn
10,0,7,0,0,1,0,0,1,1,38,6,7,37,nlogn
1,0,1,0,0,0,0,0,0,1,7,1,0,10,nlogn
5,0,3,0,0,0,0,0,0,1,15,1,0,24,nlogn
1,0,1,0,0,1,0,0,0,1,6,2,1,5,nlogn
14,0,3,0,0,1,0,0,1,1,31,3,4,39,nlogn
5,0,4,0,0,1,0,0,0,1,22,5,4,26,nlogn
5,0,3,0,0,0,0,0,0,2,14,1,0,34,nlogn
8,0,10,0,0,0,0,0,0,2,48,10,9,48,nlogn
0,0,3,0,0,0,0,0,0,1,13,3,2,10,nlogn
10,0,7,0,0,0,0,0,0,2,29,6,6,42,nlogn
13,0,12,0,1,0,0,0,1,2,61,9,10,74,nlogn
